text,topic
Clippers need 2 OTs to down Bobcats Carlos Boozer of the Utah Jazz shoots against Shandon Anderson of the Miami Heat in Miami #39;s 100-80 win Monday. Corey Maggette scored four of his 33 points in the second overtime and the Los Angeles Clippers ,Sports
"Clippers exercise option on Wilcox Los Angeles, CA (Sports Network) - The Los Angeles Clippers Monday exercised the contract option for the 2005-06 season on forward Chris Wilcox.",Sports
"Roddick and Fish propel US to 2-0 lead over Belarus Charleston, SC (Sports Network) - Andy Roddick and Mardy Fish each posted singles victories Friday to give the United States a 2-0 lead over Belarus in their best-of-five Davis Cup semifinal.",Sports
"NL Wrap: Baseball-Cubs Edge Expos to Maintain Wild-Card Pace  NEW YORK (Reuters) - The Chicago Cubs registered an  important victory in their battle for the National League  wild-card berth, edging out the Expos 2-1 over 11 innings in  Montreal Wednesday.",Sports
"Gardner not saddened Shed no tears for Rulon Gardner. Yes, that really was Gardner, the only man brave enough to not just stand up to the invincible Alexander Karelin but to beat him, nearly ",Sports
"Domenech pleads with Zidane and Thuram to return - both say no France coach Raymond Domenech made a last-ditch plea with Zinedine Zidane and Lilian Thuram, asking them to rejoin the team for two crucial games.",Sports
"Franz wins downhill, Guay 13th VAL D #39;ISERE, France (Ticker) -- Blood, sweat and tears finally paid off for Austrian veteran Werner Franz, who on Saturday collected the very first World Cup downhill win of his 14-year career.",Sports
"Klitschko Batters Williams to Retain WBC Title Ukraine #39;s Vitali Klitschko left Danny Williams battered and bruised on Saturday, stopping the Briton in the eighth round to retain his World Boxing Council heavyweight crown.",Sports
"Report: Giambi Admits to Using Steroids  SAN FRANCISCO, CA (Sports Network) - According to a report,  New York Yankees first baseman Jason Giambi claimed in his  grand jury testimony that he took a human growth hormone in  2003 and also used steroids for at least three seasons.",Sports
Lakers Defeat Warriors 94-80 (AP) AP - Kobe Bryant had 23 points and six rebounds to help the Los Angeles Lakers to a 94-80 preseason win over the Golden State Warriors on Sunday night.,Sports
"Pound adds to pressure on Jones The head of the World Anti-Doping Agency said yesterday that if Marion Jones is found to have taken drugs she should be stripped of all her medals, regardless of when she won them.",Sports
Jamie Carragher: 'Manchester United defence is a joke and a mess',Sports
"Cal angry, frustrated after Texas takes Rose Bowl spot BERKELEY, Calif. California refused to run up the score or beg for poll votes. Maybe the Bears should have. Cal was left out of the Bowl Championship Series.",Sports
"Will SEC tee off on Spurrier? Ah, the life of Steve Spurrier. From all indications, he #39;s headed to the University of South Carolina, which will allow him to pursue victories and birdies, not necessarily in that order.",Sports
"Going head to head at Williams Two drivers - Antonio Pizzonia and Nick Heidfeld -re chasing the final seat at the BMW Williams team and as everyone knows, two into one simply does not go.",Sports
Fethard RNLI Launch to False Alarm with Good Intent,Sports
"Beckham, Raul dropped by Real Madrid Real Madrid coach Jose Antonio Camacho dropped England midfielder David Beckham and Spanish striker Raul from his team to face Espanyol on Saturday, following this week #39;s painful 3-0 defeat at Bayer Leverkusen.",Sports
"Lions #39; Drummond out for season Detroit, MI (Sports Network) - Detroit Lions kick returner Eddie Drummond will miss the remainder of the season after fracturing his shoulder blade during Thursday #39;s 41-9 loss to the Indianapolis Colts.",Sports
"Spain beats United States to win Davis Cup Andy Roddick searched out Carlos Moya in the throng of jumping, screaming Spanish tennis players, hoping to shake hands. Moya had just beaten Roddick 6-2, 7-6 (1), 7-6 (5) Sunday to clinch Spain #39;s second Davis ",Sports
ESPN Launching College Sports Initiative (AP) AP - ESPN will launch a new multimedia college sports initiative in March 2005 that includes a new 24-hour television network and content from ESPN.com and ESPN The Magazine.,Sports
“One thing you don’t wanna do is drink beer with Larry Bird”: Charles Barkley explained how his head hurt for two days drinking beer with the Celtics legend during the 1992 Team USA days,Sports
"UCLA 34, Oregon 26 Third-string tailback Chris Markey ran for 131 yards to lead UCLA to a 34-26 victory over Oregon on Saturday. Markey, playing because of an injury to starter Maurice Drew, also caught five passes for 84 yards ",Sports
"Pallotta's free kick lifts Andover over Notre Dame The Andover girls ' soccer team is starting its tournament run early this year. With most of its Merrimack Valley Conference schedule completed, coach Dick Loschi's 14-1 squad viewed yesterday's matchup against Notre Dame of Hingham as step one in the pursuit of a state title. A scoreless deadlock persisted for most of the game, but when junior Emily Pallotta ...",Sports
Bengals take 34-17 lead with Joe Mixon 21-yard touchdown,Sports
Thierry finds his goal touch Thierry Henry scored his first international goal for four months to help struggling France snatch a badly needed 2-0 victory over Cyprus.,Sports
"Brazil Upset in Ecuador; China Eliminated (AP) AP - Ecuador upset Brazil 1-0 Wednesday to send the World Cup champions to their first loss in qualifying for the 2006 tournament, and China was eliminated on the fifth tiebreaker despite a 7-0 victory over visiting Hong Kong.",Sports
Report: What many Newcastle players have now texted to Steve Bruce after he left,Sports
"NHL cancels All-Star Game New York, NY (Sports Network) - With no sign that the lockout of its players will end in the near future, the National Hockey League has cancelled the 2005 All-Star Game.",Sports
"Couples tops \$3 million mark at Skins Game With his birdie on the 10th hole to begin day two of the Merrill Lynch Skins Game, Fred Couples earned eight skins and \$300,000 to move over the \$3-million mark in career earnings at the tournament.",Sports
"Mariners to name Mike Hargrove manager Seattle, WA (Sports Network) - The Seattle Mariners have reportedly found a replacement for Bob Melvin and are scheduled to name Mike Hargrove manager.",Sports
"Cayard's hopes stalled; Tornado duo eyes medal ATHENS -- A disappointed Paul Cayard embraced the Star Class gold medalist, Brazil's Torben Grael, yesterday as they came off the water and assessed his own chances to leave Athens with a medal.",Sports
"Agassi Ousts Sargsian From U.S. Open (AP) AP - Andre Agassi tried to get this over in a hurry. He wanted a fast day at the U.S. Open, just like Roger Federer.",Sports
"Indians Pitcher Shot on Team Bus  KANSAS CITY, Mo. (Sports Network) - Cleveland Indians  pitcher Kyle Denney was shot in the right calf late Wednesday  night after a bullet was fired at the team bus and grazed  another player.",Sports
Long-Winded Matchup Goes Federer #39;s Way layers #39; shirts beat against their bodies like waves against a rock. The tennis ball often did a strange jig as it crossed the net.,Sports
"Nalbandian, Massu in CA Trophy quarterfinals Top-seeded David Nalbandian of Argentina and Olympic champion Nicolas Massu of Chile advanced to the quarterfinals of the CA Trophy Thursday with straight-set victories while American Robby Ginepri upset No.",Sports
"Giants: Punt returns a top priority In his never-ending search for areas that need improvement, coach Tom Coughlin found one in the phase of the game he is known to emphasize: special teams.",Sports
Steinbrenner and Martnez Meet: Let the Intrigue Begin The Red Sox' Pedro Martnez met with Yankees owner George Steinbrenner in a potential bid to dramatically change his status in the Bronx and in Boston.,Sports
Bears go young on D-line The Bears #39; release of eight-year veteran defensive tackle Bryan Robinson on Sunday was shocking only if the progress made by first-round draft choice Tommie Harris is ignored.,Sports
"NBA to Set New Arena Security Guidelines (AP) AP - The NBA will set new security guidelines for its arenas, exerting more authority over a matter previously left to individual teams, commissioner David Stern said Tuesday.",Sports
House Panel Tackles NCAA's Sanctions (AP) AP - Champion skier Jeremy Bloom told a sympathetic congressional panel Tuesday that the NCAA cut his college football career short without giving him a fair chance to argue his case.,Sports
Trio in ALCS spotlight I #39;m one of those people who believe there is an aura around this Red Sox team that will enable Boston to prevail over the Yankees in the latest postseason showdown between these two bitter rivals.,Sports
Messina upset league champions Milan Promoted Sicilian side Messina shocked Italian champions AC Milan with a 2-1 victory at the San Siro in Italian first division league match on Wednesday.,Sports
Manning promotion no sign of surrender his third of the week dominated by Eli-mania - someone at last asked Tom Coughlin about a matter largely lost in the hysteria: the standings.,Sports
Film producer De Laurentiis takes over Napoli Film producer Aurelio De Laurentiis will buy financially troubled Napoli for 29.25 million (US\$35.3 million). De Laurentiis reached an agreement with an Italian court to buy the club ,Sports
"Purdue's Defense Is Pretty Good, Too (AP) AP - There was a reason all the preseason hubbub about Purdue was on its offense, and it wasn't just because of Kyle Orton's spectacular arm.",Sports
Red Sox Look to Reverse the Curse with Game 7 Win  NEW YORK (Reuters) - When the Boston Red Sox and New York  Yankees meet in Game Seven of the American League Championship  Series Wednesday the result could produce the greatest comeback  in Major League history.,Sports
Federer's Games Dream Shattered  ATHENS (Reuters) - Top seed Roger Federer was bundled out  of the Olympic tennis tournament on Tuesday by unheralded Czech  Tomas Berdych.,Sports
Labor pains April 1980 -- Players strike the last eight days of spring training. Ninety-two exhibition games are canceled. June 1981 -- Players stage first midseason strike in history.,Sports
"Jordan-Hare Stadium (87,451) LSU puts its 10-game winning streak on the line when the defending co-national champs face a difficult road test. Auburn has rolled in its opening two games against Louisiana-Monroe and Mississippi State, but the Tigers haven #39;t been tested.",Sports
Rangers win heated Old Firm match to blow title race wide open GLASGOW (AFP) - Rangers won 2-0 in a heated Old Firm game at Ibrox to narrow Celtic #39;s lead in the Scottish Premier League to a single point.,Sports
Former NFL player killed in crash Travel is back to normal on the Thruway Friday morning after an accident that stopped or slowed traffic from Herkimer all the way to Schenectady.,Sports
"Runaway Annika equals record ANNIKA SORENSTAM matched Laura Davies #39; LPGA Tour record for consecutive victories in a tournament today, closing with a seven-under 65 for her fourth straight Mizuno Classic title in Otsu, Japan.",Sports
No. 11 Michigan St. Rebounds with Win Over George Mason WASHINGTON (Sports Network) - Maurice Ager scored 13 points to lead 11th-ranked Michigan State to a 66-60 win over George Mason in the consolation game of the BB amp;T Classic from the MCI Center.,Sports
Former NBA Star Calvin Murphy Acquitted of Sexual Abuse  HOUSTON (Reuters) - Former basketball star Calvin Murphy  was acquitted on Monday by a Houston jury on charges he  sexually abused five of his daughters.,Sports
"DC City Council Weighs Revised Baseball Plan Washington, DC, City Council committees will consider a revised stadium funding package on Wednesday that includes a \$450 million community investment fund financed with bonds, according to the mayor #39;s staff.",Sports
Packers improve to 6-1 with win over Washington - NBC Sports,Sports
Gerrard stunner seals comeback STEVEN GERRARD scored one of the finest - and most dramatic -oals Anfield #39;s famous Kop has ever witnessed today. And it was enough to fire Liverpool into the knockout stages of the tournament with a gut-wrenching victory.,Sports
"""NORWICH ARE TERRIBLE!"" Tony Cascarino wasn't happy with Norwich after their 7-0 Chelsea defeat! - talkSPORT",Sports
"Another First-Time Winner on the PGA Tour When the Palmer name is heard in golf circles, the first name of Arnold comes quickly to mind. But another Palmer took center stage on the PGA Tour after winning the Funai Classic at Disney.",Sports
Brugnetti Strides to First Gold in 20km Walk ATHENS (Reuters) - Italian Ivano Brugnetti strode to victory in the first athletics final of the Athens Olympics on Friday with a commanding performance in the men #39;s 20km walk. ,Sports
Kerr frustrated at victory margin Republic of Ireland manager Brian Kerr admitted he was frustrated his side did not score more than one goal in their friendly win over Croatia.,Sports
"Auburn in Running for Bowl Game (AP) AP - Tommy Tuberville would be shocked if a Southeastern Conference team went undefeated, won the league title game and failed to get a shot at the national title.",Sports
Seattle Storm Wins W.N.B.A. Title Over Sun Betty Lennox scored 23 points to lead the Seattle Storm to their first W.N.B.A. title with a 74-60 victory over the Connecticut Sun on Tuesday night.,Sports
"Ginepri ousts Srichaphan at CA Trophy American Robby Ginepri advanced to the quarterfinals of the CA Trophy with a 6-2, 6-1 win Thursday over fifth-seeded Paradorn Srichaphan of Thailand.",Sports
NOW IT #39;S SUED VAN NISTELROOY SIR ALEX FERGUSON has accused Arsene Wenger of having a  quot;mental problem quot; with Ruud van Nistelrooy after the Arsenal boss branded the United striker a cheat.,Sports
"Busch the Man to Beat for Nextel Cup (AP) AP - Kurt Busch has been doing everything right in his bid for his first Nextel Cup championship. He now has one big hurdle to clear entering Sunday's Ford 400. He needs to protect a vulnerable 18-point lead over Jimmie Johnson, with Jeff Gordon, Dale Earnhardt Jr. and Mark Martin also within reach.",Sports
"Buckeyes' offense earns no style points in victory COLUMBUS, Ohio -- Lydell Ross rushed for 141 yards and a touchdown, and No. 9 Ohio State's defenders stymied Cincinnati in a 27-6 win yesterday.Justin Zwick, seeing his first substantial playing time at quarterback for the Buckeyes, threw two interceptions and had four fumbles in a rough outing. He completed 14 of 26 passes for 213 yards and a touchdown. ...",Sports
Liberty earns playoff berth The New York Liberty made sure it wrapped up a playoff spot sooner than later. New York beat the Connecticut Sun 69-66 last night behind Crystal Robinson #39;s season ,Sports
Why can’t we find a solution to sewage in rivers?,Sports
"=== Reds decide not to re-sign Larkin === Cincinnati, OH (Sports Network) - The Cincinnati Reds have scheduled a press conference for 4 pm (et) today, at which time the club is expected to announce that shortstop Barry Larkin will not be re-signed.",Sports
"Olympic roundup ATHENS, Greece - For one game, the United States was its former Olympic basketball self on Monday afternoon. Considering the opponent, winless Angola, that shouldn #39;t be viewed as a strong foundation for optimism as medal play approaches.",Sports
Mississippi St. Upsets No. 20 Florida (AP) AP - Sylvester Croom's first big win for Mississippi State sent Florida to a new low under coach Ron Zook. Jerious Norwood's 37-yard touchdown run with 32 seconds remaining lifted Mississippi State to a 38-31 upset of the 20th-ranked Gators on Saturday.,Sports
England set to tour as ICC clear Zimbabwe England #39;s tour to Zimbabwe next month looks certain to go ahead after an inquiry found no evidence of racism within the Zimbabwe Cricket Union.,Sports
Manju Rani off to winning start,Sports
WVU will play Florida State in Gator Bowl The most enjoyable part of Rich Rodriguez #39;s message to his West Virginia football team yesterday was short and sweet. The Mountaineers will play in the Gator Bowl -- probably ,Sports
Colorado Is Not Quite All Better The scene at the end of Colorado #39;s victory Saturday night probably was not what the university was looking for after a tumultuous off-season.,Sports
Favorites dominate in advancing in UEFA Cup Mike Hanke scored three second-half goals and led Schalke 04 into the inaugural group stage of the UEFA Cup Thursday with a 4-0 beating of Latvia #39;s Liepajas Metalurgs.,Sports
"Steelers, Bettis overwhelm undefeated Eagles PITTSBURGH 27, PHILADELPHIA 3 -- PITTSBURGH (Ticker) -- The Pittsburgh Steelers celebrated the 25th anniversary of their Super Bowl XIV title team.",Sports
"Bryant Ends Drought, Wins Texas Open Bryant closed out the Texas Open with a 3-under 67 Sunday to claim his first PGA Tour victory by three strokes against Patrick Sheehan.",Sports
"Woods near top of soaked NEC AKRON, OHIO - Tiger Woods was cruising at one of his favorite courses before a pair of dropped shots cost him a share of the lead at the weather-delayed WGC-NEC Invitational on Thursday. ",Sports
West of England’s metro mayor launches mask-wearing campaign,Sports
Over Before It Started No. 14 Broadneck waited through a three-day postponement for the conclusion of its 30-0 win over Arundel.,Sports
Henin-Hardenne Pulls Out of Tournament (AP) AP - Olympic champion Justine Henin-Hardenne pulled out of next week's Porsche Grand Prix in Germany because she is still ill from a virus which sidelined her earlier this year.,Sports
United give FA food for thought Manchester United are to report Mr Arsene Wenger to the Football Association for his verbal abuse of Ruud van Nistelrooy and Sir Alex Ferguson in the bitter aftermath of Arsenals 2-0 defeat at Old Trafford last Sunday.,Sports
Golfer Billy Horschel enjoys a winning West Ham United debut - West Ham United F.C.,Sports
Deco and Simao fit for World Cup qualifier Portugal playmaker Deco and winger Simao Sabrosa will be fit for Wednesday #39;s World Cup qualifier against Russia after recovering from knocks suffered against Liechtenstein last Saturday.,Sports
"Report: Williams Considers Possible Return To Miami Miami, FL -- Ricky Williams, who shocked the football world when he announced his retirement at the age of 27, has made inklings to Miami Dolphins head coach Dave Wannstedt about returning to the club.",Sports
"Former MVP Caminiti Dies of Heart Attack at 41 Former National League Most Valuable Player Ken Caminiti, who in 2002 admitted he used steroids, died of a heart attack in New York on Sunday, Major League Baseball reported on its Web Site.",Sports
"Bryant trial opens with questionnaires for prospective jurors Kobe Bryants trial began Friday with 300 prospective jurors arriving at the county courthouse to fill out questionnaires, the first step toward choosing ",Sports
"Rossi: Well go for it Rossi heads to Japan with a 29-point lead over Sete Gibernau thanks to a stunning victory et Estoril two weeks ago, but for all his six success this season, you can bet your house that The Doctor will be giving it everything he #39;s got to deny Honda victory ",Sports
China Makes Debut as Villeneuve Returns  SHANGHAI (Reuters) - Formula One goes back to the future on  Sunday with former champion Jacques Villeneuve making his race  return in the first grand prix held in China.,Sports
"Byrd Ties Sluman for Chrysler Lead  PALM HARBOR, Florida (Reuters) - Jonathan Byrd shot his  second successive five-under-par 66 on Friday and joined Jeff  Sluman on top of the leader board after two rounds at the  Chrysler Championship.",Sports
"Palace Holds Arsenal, Chelsea Goes Two Points Clear  LONDON (Reuters) - Chelsea went two points clear at the top  of the Premier League after they beat Everton 1-0 and  struggling champions Arsenal were held to a surprise 1-1 draw  by promoted Crystal Palace Saturday.",Sports
El Clasico defeat shows just how far Barca have fallen,Sports
"CAF: Enyimba, Rivers know playoff foes today",Sports
Guerrero is AL MVP Vladimir Guerrero had such a huge impact during the final week of the season that voting for the American League Most Valuable Player award wasn #39;t even close.,Sports
"Soccer: U.S. Overcomes El Salvador After Bad-Tempered Battle  FOXBORO, Massachusetts (Reuters) - Brian Ching and Landon  Donovan scored well-taken goals as the United States beat  10-man El Salvador 2-0 in an ill-tempered CONCACAF zone Group A  World Cup qualifier on Saturday.",Sports
"O #39;Malley ties closings to sex-abuse scandal: Archbishop calls &lt;b&gt;...&lt;/b&gt; In a letter issued yesterday to parishioners, Archbishop Sean P. O #39;Malley for the first time acknowledged a link between church closings and the sex-abuse scandal, saying his mission is ",Sports
"Hourihan finally getting her shot in goal When Northeastern University women's hockey goalie Marisa Hourihan skated off with a 3-0 victory over Quinnipiac University on Oct. 30, the Hanover native felt she was back where she belonged.",Sports
Not sold on Vick Michael Vick has certainly been a commercial success so far in his young NFL career -- it's hard to watch an NFL game on television without seeing him shilling for something.,Sports
"Cardinals Move Closer to Division Title (AP) AP - Jim Edmonds' sacrifice fly snapped an eighth-inning tie and Matt Morris bounced back from one of his worst starts of the season, bringing the St. Louis Cardinals one step closer to the NL Central championship with a 4-2 victory over the Houston Astros on Wednesday night.",Sports
Shevchenko Puts Milan Back on Track A superb second-half performance by Andriy Shevchenko saw champions AC Milan kickstart their season with a 2-1 win in Rome against Lazio tonight.,Sports
"FACTBOX-Australia v Pakistan factbox Head-to-heads: The two teams have met 49 times since 1956-57. Australia hold the advantage with 21 victories while Pakistan have won 11, with 17 draws.",Sports
"Pacers, O'Neal Edge Out Knicks 103-97 (AP) AP - Once again, the ailing and short-handed Indiana Pacers built a big lead. This time, they were able to hold off New York's furious comeback. Jermaine O'Neal had 33 points and 12 rebounds, Ron Artest marked his 25th birthday with 22 points and Stephen Jackson added 19 as the Pacers fought off fatigue and beat the Knicks 103-97 Saturday night.",Sports
"Are the Chiefs Dead? Plus: Unicorn Derrick Henry, the “Genius” Shanahan, and Guess the Lines With Cousin Sal.",Sports
NFL Week 8 Fantasy Football Waiver Wire Targets: All league sizes & scoring types,Sports
"Roddick leads US charge ANDY Roddick is no longer the US Open champion or the world #39;s top-ranked tennis player, but he can salvage some wounded pride by leading the US into the Davis Cup final.",Sports
"Two-Test ban on India #39;s skipper Sourav Ganguly lifted Friday The International Cricket Council on Friday revoked a two-Test ban on Indian captain Sourav Ganguly, enabling him to lead his country in the second and final test against South Africa starting next week, officials said.",Sports
'Played against him': Sky pundit says he could see 'real talent' in Leeds teen 'in a second',Sports
Ganguly Appeals Commissioner appointed The International Cricket Council on Tuesday confirmed the appointment of New Zealand barrister Tim Castle as the Appeals Commissioner to hear India captain Sourav Ganguly #39;s case.,Sports
"Ganguly hopes to win the second test against Aussies Captain Sourav Ganguly today said he hoped to win the second test match against Australia beginning in Chennai on Thursday. Despite master blaster Sachin Tendulkar #39;s absence, and a thrashing win by the visitors, Ganguly did not seem to lose hope.",Sports
Rain Brings Back Bad Memories for Vols (AP) AP - Playing in the rain against Florida brings back some bad memories for Tennessee.,Sports
"Kobe Bryant Rape Trial Looks Set to Go Ahead  EAGLE, Colo. (Reuters) - The trial in the Kobe Bryant rape  case looked set to go ahead later this month after the state's  highest court ruled against prosecutors on Monday over a key  piece of evidence in the high-profile case.",Sports
"Former Tottenham Coach Bill Nicholson Dies (AP) AP - Bill Nicholson, who coached Tottenham in its glory days of the 1960s and 1970s, died Saturday after a long illness. He was 85. Nicholson's death at a hospital in Hertfordshire, outside London, was announced on Tottenham's Web site on behalf of his family.",Sports
Blues are Robben first place from Arsenal Chelsea is the new Premier League leader in England. The Blues took a hard-fought 1-0 victory yesterday over Everton on Arjen Robben #39;s 72nd-minute goal.,Sports
"Frazar, Pate atop leaderboard in Mississippi Madison, MS (Sports Network) - Harrison Frazar posted a five-under 67 Friday to maintain a share of the lead through two rounds of the Southern Farm Bureau Classic at Annandale Golf Club.",Sports
Premier League: Manchester United - Liverpool. Relacja i wynik na żywo,Sports
Olympics man on indecency charges A former Irish priest who disrupted the men #39;s Olympic marathon in Athens has appeared in court on two counts of indecently assaulting a child.,Sports
"Busch sweeps Loudon: No. 19 takes lead in Nextel Cup Kurt Busch claimed a stake in the points lead in the NASCAR Chase for the Nextel Cup yesterday, winning the Sylvania 300 at New Hampshire International Speedway.",Sports
"Ancient Site a Throwback for Select Few Athletes THENS, Aug. 17 - Earlier this week, John Godina, a shot-putter from the United States, walked into the ancient stadium at Olympia, about 200 miles southwest of Athens, and the history he had studied in college came to life. ",Sports
"Henry favoured for FIFA award Thierry Henry, Ronaldinho and Andrei Shevchenko are set to fight it out for the honour of being named as the FIFA World Player of the Year next month.",Sports
"Agassi beats Mirnyi at Madrid Masters Andre Agassi got past big-serving Max Mirnyi 7-6 (5), 6-3 Tuesday to reach the third round at the Madrid Masters. The second-seeded Agassi, the tournament #39;s 2002 champion, was given a first-round bye.",Sports
Olympics-Athletics-Invincible Sanchez storms to gold Red-hot favourite Felix Sanchez made history for the Dominican Republic when he streaked to victory in the men #39;s Olympic 400 metres hurdles final.,Sports
Schumacher aiming for Suzuka victory Motorsport.com. The titles may be wrapped up for Michael Schumacher and Ferrari but the 2004 champion is keen to notch up another victory at the penultimate race of the season.,Sports
"Edgerrin James runs fro 124 yards, 2 TDs Peyton Manning had plenty of help from the Colts. Steve McNair didn #39;t get the same treatment from his Titans in the first game between the NFL #39;s co-MVP quarterbacks.",Sports
