text,topic
Park opens two-shot lead,Crime
 One killed other injured in road accident,Crime
Knife fight in China market leaves six dead,Crime
Fake FBI agent arrested in Pakistan,Crime
Three suspects held from Gujranwala cantonment area,Crime
 Taliban kill at least six Afghan police in Humvee suicide attack,Crime
US swimmers taken off flights over robbery probe,Crime
Three dead in violence,Crime
Girl gunned down for refusing cousin’s marriage proposal,Crime
Social network to allow video loops to be used as profile pictures,Crime
3 children burnt alive in Jhang van catches fire,Crime
Ex-Taliban commander shot dead in Bannu,Crime
Over 100 workshops certifying vehicles with CNG countrywide,Crime
IGP ordered to put police on high alert during LB polls in Sindh,Crime
17 people shot at Alabama bar,Crime
"Suspecting Affair, Man Kills 6-Year-Old Son Of His Live-In Partner In Madhya Pradesh: Cops",Crime
Ten more Karachiites confirmed as H1N1 patients,Crime
Runaway train devastates small town in Quebec,Crime
Police chief says zero tolerance for kite flyers,Crime
 Iraq forces launch assault near Fallujah 11 killed,Crime
The shot across the bow,Crime
250 Bangladeshi patients nurses jailed over mutiny,Crime
Turkish Newspaper Identifies Ankara Car Bomb Attacker As Syrian National,Crime
Iraq attacks kill 37 ahead of Shia rituals,Crime
ASF arrests three recovers heroin at Lahore airport,Crime
18 dead 5 hurt in Indian helicopter crash,Crime
Taliban are serious in peace talks: Spokesman,Crime
Video: Angry lawyers vs water cannon at LHC,Crime
Altaf hails Sindh CM police over Safoora killers arrest,Crime
West Indies Women reach Pakistan for three-match T20I series,Crime
Hit-and-Run case: Session court cancels bail plea of DSP’s son,Crime
Hijacker was a failure in love,Crime
Sanders apologises for harassment by 2016 campaign staff,Crime
Militants involved in attack on President’s son arrested,Crime
Amjad Sabri’s family to leave Pakistan over life threats,Crime
 Governor CM condemn murder of Mufti Masood,Crime
GCU Sports competitions from today,Crime
11 passengers die in Thatta Moro accidents,Crime
Italian man held after driving through city shooting at black people,Crime
 Ukraine vote campaign climaxes after 17 troops killed,Crime
Players from Pakistan’s street child squad on EPL’s radar,Crime
 Zaman town police arrest seven criminals,Crime
 Journalist’s brother shot dead,Crime
US church official convicted in landmark abuse case,Crime
 CJ takes suo moto notice of teenage girl’s murder,Crime
Video: Chinese pilot gets reward for saving life of 439 passengers by narrowly avoiding collision,Crime
"Out On Date, Woman Beaten Up By Live-In Partner At Gurugram Restaurant: Cops",Crime
Indian troops martyred 515 Kashmiris after Burhan Wani,Crime
Call off murders so we can be brothers Imran to Altaf,Crime
RuF makes headway as TTP ex-spokesman surrenders,Crime
Key terrorist involved in DI Khan jailbreak killed,Crime
Conspiracy brewing against PU vice chancellor,Crime
Former councilor killed over old enmity,Crime
India detains 35 Pakistanis in Rajasthan state,Crime
Khashoggi’s killing wasn’t a botched rendition attempt but premeditated murder: CNN,Crime
Carbon ‘budget’ may be bigger than thought: study,Crime
 ISLAMABAD: Islamabad Police performed during rehearsal to meet any kind of emergency situation,Crime
3 killed in different incidents,Crime
Shah announces development funds for women lawmakers,Crime
Limo driver’s wife says husband had complained about company’s cars,Crime
IGP reopens Chani Goth blasphemy case inspector suspended,Crime
 Palestinian minister dies after confrontation with Israeli police,Crime
Violence claims 5 more lives,Crime
Uproar in India after two children burned alive police arrest four,Crime
10 women among 14 killed in Buner roof collapse,Crime
Enraged man drowns mother brother in a pool of blood,Crime
 Punto Fijo: Fires continue to burn at the Amuay refinery near here yesterday after a huge explosion rocked Venezuela’s biggest oil refinery early Saturday killing 39 people.,Crime
 Nalgonda: Crowd on the spot where five alleged Islamic militants were shot dead in an encounter near Alair in Nalgonda district of Telangana.,Crime
Indian troops martyr four Kashmiri youth in IOK,Crime
Nine-year-old boy kills sister in Sargodha,Crime
"Oscar Pistorius, Jailed For Girlfriend's Murder In 2013, Gets Early Release",Crime
Six dead 14 injured as buildings collapse in Hyderabad,Crime
Three women among five dead in road accident near Matiari,Crime
Murder in Hyderabad – SAMAA VIDEO,Crime
Police arrest four drug dealers in Mirpur Khas,Crime
 7 including 3 political activists shot dead,Crime
 Police arrest 290 for violating pillion riding ban,Crime
70 villagers kidnapped in Afghanistan at least 7 killed: police,Crime
Two kidnapped Sikhs rescued in NW Pakistan,Crime
 KARACHI: Members of Civil Society demonstrating against murder of Hamza Ahmed demanding for justice at Karachi Press Club here yesterday.,Crime
A political dacoity,Crime
President vows to eliminate crimes from Karachi,Crime
Lyari operation: Law-enforcers face gunfights: 24 arrested,Crime
CIA police recover looted Rs 7.2 million,Crime
 Indians freed after kidnapping in Hong Kong,Crime
Meesha Shafi appeals to LHC against Punjab governor’s dismissal of harassment case,Crime
British diplomat robbed of Rs 350000,Crime
 Police minting money from motorcyclists,Crime
Police arrest suspect for threatening activist on social media,Crime
Strasbourg gunman shot dead by French police,Crime
RPO Rawalpindi seeks particulars of women hostels,Crime
Women take over the red carpet at Cannes,Crime
Indian cricketer arrested for rape in Zimbabwe,Crime
Landmine blast kills 3 in Mohmand Agency,Crime
IIUI male campus remains closed over ‘Talibanisation’,Crime
Karachi police tell ATC they were unable to determine why Ali Raza Abidi was killed,Crime
Disney's 'Cinderella' taps grown women,Crime
Jemima makes the correct political statement with her halloween dress,Crime
Supersonic NASA parachute torn to pieces in latest test,Crime
15 extremists killed in Kurram Agency,Crime
Mardan police kill four terrorists involved in officers’ murder,Crime
Referee shot dead by footballer after receiving red card,Crime
3 killed in violence,Crime
UN blacklists Nigeria's Boko Haram imposes sanctions,Crime
 Seven foreigners kidnapped in Nigerian north,Crime
Two soldiers beheaded in Miranshah,Crime
 Sindh police decide to introduce “Auto-Machine system”,Crime
Three dead several injured in Nawabshah van-car collision,Crime
Women buy sacrificial animals,Crime
Rangers arrest two extortionists from Karachi,Crime
Lula turns himself in to Brazil police ending standoff,Crime
Ghotki constable arrested for assaulting elderly man,Crime
3 Hindu doctors gunned down in Shikarpur,Crime
Mahesh Bhatt receives death threat; lodges police complaint,Crime
Uncertain future for Japan's cat cafes,Crime
Two policemen injured in DI Khan explosion ,Crime
Robbers ‘pose as police’ in Johannesburg airport heist,Crime
 12 including 2 cops  shot dead in city,Crime
Bodies of 6 Pakistanis who died in UAE fire reach Islamabad,Crime
3169 people killed in terrorist acts in two years: Malik,Crime
"On Their Way To Court, Father-Son Shot Dead In Bihar's Saran: Police",Crime
Five years on Dr. Shakil Afridi suffers in jail,Crime
Karachi police clears Taliban ‘no-go zones’,Crime
LAHORE – There is more to slain Punjab governor Salmaan Taseer’s assassination than his assassin Malik Mumtaz Qadri: key pieces of evidence have either been overlooked or have gone missing Pakistan Today has learnt. Moreover while the investigation team insists otherwise the prosecution and the defence have verified that a chemical examination has not been conducted.“A chemical examination was essential especially in a case as high profile as this” a senior Punjab Police,Crime
Saudi national executed for killing policeman,Crime
Ignorance kills,Crime
 Rao Anwar remanded in police custody for 30 days in Naqeebullah killing case,Crime
Erdogan blames ‘murderer Assad’ for suspected Syria chemical attack,Crime
Man shoots injures mother for ‘honour’,Crime
4 labourers killed in Lower Orakzai mine explosion,Crime
 Eyewitnesses refuse to identify accused in Shahzeb murder case,Crime
Toxic liquor kills 30 in India,Crime
Criminal Shortage Leads To Near-Empty Prisons In This European Country,Crime
Gunmen kill six at Nigerian church,Crime
Rawalpindi’s ATC indicts 21 including Maulana Abdul Aziz,Crime
Police seize drugs arrest smugglers in Rawalpindi,Crime
"Mumbai Cop Poses As Food Delivery Agent, Arrests Peddler With Rs 10 Lakh Drug",Crime
18 arrested in India after mob lynches rape suspect,Crime
Journalists only ‘stopped’ police tell judge,Crime
 200 master trainers 2000 Police personnel trained for scientific investigations,Crime
Pakistani fisherman killed in Indian jail laid to rest,Crime
Cybercrime Against Kids Up 261 In 2020 116 Held 1 Convicted,Crime
Jang group vehicle attacked in Pindi,Crime
Husband confesses to murdering school principal wife,Crime
Syria’s Assad says Paris attacks result of French policy,Crime
Ghotki graveyard where ‘kari’ women numbering in the hundreds are buried,Crime
FC kills 7 militants injures 9 after being attacked,Crime
 Police busts international extortionist gang operating from SA,Crime
Kill all politicians Edhi demands of Kayani,Crime
‘My husband not involved in Sabri’s murder’,Crime
Man burnt alive as Karachi braces for strike,Crime
SAMAA VIDEO – Robbery in Islamabad,Crime
Police arrest 38 alleged criminals across province,Crime
Media Watch: The hilarity of child abuse,Crime
 Reserved platoons be kept alert as backup to police stations: IG,Crime
 KARACHI: Sindh Police Inspector General (IG) Allah Dino Khawaja presides over the high level meeting at his office here yesterday.,Crime
Bosnian Serb fugitive Mladic arrested: President Tadic,Crime
Head constable allegedly tortures citizen,Crime
Policeman arrested for murdering youth,Crime
Nine dead dozens wounded in blast at police HQ in southeast Turkey,Crime
 At least 20 killed in Central Africa clashes: police,Crime
Yemen troops tribesmen kill 14 Qaeda suspects,Crime
Ruckus in PA over Model Town incident,Crime
Karachi violence leaves 11 dead in 24 hours,Crime
Elderly Karachi man arrested for blackmailing women on social media,Crime
10 militants killed in Orakzai copter raids,Crime
40 militants killed in Kurram agency,Crime
Karachi: Five terror suspects killed in Orangi Town,Crime
Crackdown against passport agents 10 arrested,Crime
No place to be a minority,Crime
 Pro-active role of police urged against drug menace,Crime
 Two colliers killed in mine blast in Balochistan,Crime
5 more killed 3 injured in ongoing violence in Karachi,Crime
 Six ‘terrorists’ killed in shootout  with CTD,Crime
16-year-old girl killed for honour,Crime
Tortured body found one killed,Crime
Two police personnel shot dead in Karachi,Crime
 5 killed in gas cylinder explosion,Crime
Two brothers gunned down over old enmity,Crime
Four arrested in Denmark over terror plot,Crime
Sunny Leone signs three-film deal,Crime
Police arrest six outlaws seize drugs stolen goods,Crime
Children were shot point blank one by one,Crime
 Aseefa deplores kidnapping of 11 polio vaccination workers,Crime
Indian farmers behind smog in Pakistan: EPD minister,Crime
Eight troops die in a day in Afghanistan: military,Crime
Rawalpindi police release sketch of knife attacker,Crime
Berlusconi dismisses accusations at fraud trial,Crime
Uncle kills girl for honour,Crime
 Police kill armed 14-year-old boy,Crime
 DHAKA: Bangladeshi police detain a suspect following an attack on a polling station in the northern town of Bogra.,Crime
Hoti says Malala deserves Noble Peace award,Crime
 More than 100 killed in Afghan avalanches: officials,Crime
 4 killed 18 injured in road accident,Crime
 3 Women among four convicted in kidnapping case,Crime
ISLAMABAD: Japanese Ambassador Hiroshi Inomata being briefed by Director CTTI Ejaz Hussain about the setup during his visit to hand over grant containing a set of vehicles and equipment.,Crime
Rangers police arrest 236 suspects in Karachi targeted operation,Crime
Afghan defence minister army chief resign after deadly Taliban attack: Presidential palace,Crime
Shock and fear: Afghan Americans in NY post-Orlando,Crime
Tajiks demand troop pullout near Afghan border,Crime
 6 terrorists killed  in operation of security forces,Crime
Rangers arrest ten suspects from Karachi,Crime
Female teacher shot dead in Kech,Crime
2 Arrested For Strangling Man To Death With Pyjama String In Mumbai,Crime
'Psycho' in UK court accused of Indian student murder,Crime
Toyota to sell 9.7 mln vehicles this year,Crime
Sartaj Aziz shoots a tough message back at India,Crime
UNICEF deplores appalling Kasur child sex scandal,Crime
Cop killed in Quetta blast,Crime
 Police busts sectarian killers’ gang: Thebo,Crime
 Altaf Hussain slams Nadeem Ahmed killing,Crime
Stick-wielding force ready to take on ‘harassers’,Crime
Four including two women killed in Balochistan violence,Crime
Police yet to arrest driver responsible for young mother of three,Crime
Army kills Sunni cleric in Lebanon,Crime
Tortured child taken to Karachi says aunt,Crime
KUALA LUMPUR: Malaysia has detained a woman holding a Vietnamese travel document in connection with the death of the half-brother of North Korean leader Kim Jong Un police said on Wednesday. The…,Crime
4 people in custody after Nice attack,Crime
Police arrest six suspects in search operation in Karachi,Crime
Palestinian kills two Israelis in West Bank shooting: army,Crime
 Police claim city crime down by 50 percent,Crime
Rana sees hand in killing of Justice Javed’s parents,Crime
SC directs to provide security to deceased Parveen Rehman’s family,Crime
Police fail to arrest third suspect in Samreen murder case,Crime
Four cops SHO tortured in Defence,Crime
 Altaf expresses concern over nuke war propaganda by Indian Police,Crime
Violence claims three lives in city,Crime
 Two terrorists killed  in DG Khan: ISPR,Crime
 UN confronts North Korea over crimes against humanity,Crime
Plane fighting Australia fires crashes in national park,Crime
Two security men injured in Quetta grenade attack,Crime
PES officer accused of raping colleague acquitted,Crime
Matric part-2 exams conclude today,Crime
 Six killed  4 hurt in Hangu blasts,Crime
NCSW condemns Kohat murder,Crime
‘Milestone’ ovarian cancer drug licensed for use in the UK,Crime
Blowback is here,Crime
"Man Poses As Air Force Officer, Extorts Rs 4 Lakh From Woman: Cops",Crime
2 suicide bombers arrested in Khuzdar,Crime
2 guards killed in attack on Libya govt HQ,Crime
 Police to take action against officials who attacked ICCI President,Crime
Finland stabbing was terror attack suspect is Moroccan: Finnish police,Crime
 Child killed over 30 wounded in Madagascar grenade blast,Crime
Young couple killed in name of honour,Crime
9 killed 62 hurt in Delhi court bombing,Crime
Shahbaz grieved over army vehicle accident,Crime
Non-bailable arrest warrant issued for Anees Qaimkhani,Crime
Drunken policemen torture arrest wedding guests in Faisalabad,Crime
 Rs47.65m looted from city’s banks,Crime
Karachi: Labourer killed for not paying ransom,Crime
Online child sex abuse images soar,Crime
Girl 7 found murdered in Dir after going missing,Crime
Outcry grows over bombing of Syria camp for displaced,Crime
Karzai reviews Taliban peace strategy,Crime
China charges 4 in train station knife attack,Crime
 26 killed in SAfrica bus accident,Crime
FIR registered against 16 CTD officials for involvement in fatal shooting of four people in Sahiwal,Crime
Malaysian Airlines set for shakeup after disasters,Crime
PIA Police and Parliamentarian,Crime
Religious violence erupts in Myanmar,Crime
Case Against Man After Teen Dies By Suicide In Ghaziabad: Police,Crime
ATC awards 28-year imprisonment to three terrorists,Crime
Millions looted in Lahore bank robbery,Crime
Canada van massacre driver charged with murder most victims women,Crime
Man kills son for slapping him,Crime
Suicide bomber arrested in Chakwal,Crime
10 NATO tankers torched in Peshawar,Crime
Indian security forces kill 21 Maoist rebels,Crime
Five peace committee members martyred in Khyber Agency blast,Crime
Six of a family gunned down in Rawalpindi,Crime
 Root causes of crimes be addressed: Wassan,Crime
Jamaat ANP workers among 11 killed in Karachi,Crime
 Ankara: At least nine people were killed and a number of others injured when a passenger train rammed into a minibus in Mersin province of southern Turkey.,Crime
4 die 2 hurt in Islamabad plaza fire,Crime
Indian Army indicts nine soldiers for killing two civilians,Crime
 Strict security ordered for police places,Crime
Kashmala Tariq’s security team allegedly holds private news channel’s crew hostage,Crime
Saudi royal faces death penalty for murder-newspaper,Crime
A man ruthlessly killed his wife by slitting her throat with a sharp edged knife in the precincts of the Aabpara Police Station near Qadri Market on Thursday. An Aabpara police officer…,Crime
CM takes notice of Edhi centre robbery incident,Crime
CIA police arrests 152 outlaws busts seven criminal gangs,Crime
Four killed in Peshawar violence,Crime
UN slams rape and murder of low caste Indian girls,Crime
 Red Crescent official shot dead in Syria: ICRC,Crime
Tribal clash leaves five dead in Jhal Magsi,Crime
Italy foreign minister resigns over marines' return to India,Crime
University student 12-year-old domestic worker murdered in Lahore’s Nawankot,Crime
Women are happier being single than men are: research,Crime
 PESHAWAR: KP Chief Minister Pervaiz Khattak arrives to lay floral wreath on Yaadgar-e-Shuhada at Police Lines.,Crime
Bomb kills 2 soldiers in northwest Pakistan,Crime
 KP police plans SOS service for educational institutions,Crime
Israel reopens Al-Aqsa mosque,Crime
8 killed as jeep falls into River Neelum near Muzaffarabad,Crime
Blade Runner Pistorius sobs as court hears murder charge,Crime
Wife killed husband injured in firing,Crime
18 Afghan policemen missing after Taliban attack,Crime
Swedish woman shot in Lahore passes away in Sweden,Crime
5 terrorists killed 5 arrested in Swat,Crime
Sub-inspector injured in excise police firing,Crime
Suicide bomber kills six Jordan soldiers on Syria border,Crime
U.S. soldier who killed Afghan villagers gets life without parole,Crime
Man arrested for threatening to kill Rehman Malik,Crime
Targeted operation to begin in Karachi in two days: Nisar,Crime
Haqqani killed Rabbani?,Crime
Seven-year-old raped and killed in Lahore,Crime
 2 of a family killed in car-truck collision; 5 injured  near Nooriabad,Crime
 Nepal floods kill at least 85 raise cholera fears,Crime
Taliban warns Pakistan against releasing U.S. prisoner,Crime
 7 dead in Argentina looting amid police strike,Crime
Indian-born student released after jail term for bias crime,Crime
Kasur abuse scandal: Prosecution gets final challan against accused,Crime
Undoing of Sindh Police,Crime
 Seven Libyan soldiers killed in Benghazi bombs and clashes,Crime
Man throws acid on younger brother over petty dispute,Crime
 Robbery at trader’s house in Khipro town,Crime
Ahmadi doctor shot dead in Karachi,Crime
Indian presenter Barkha Dutt says she was victim of abuse,Crime
Journalist robbed,Crime
Four arrested in India for leaking ‘Game of Thrones’ episode,Crime
Sindh police conspiring against me claims Rao Anwar,Crime
 Four terrorists killed in Balochistan as FC foils attack: ISPR,Crime
British intelligence to take over CIA ops in Pakistan,Crime
Pakistan dispatches relief good to avalanche-struck Afghan province,Crime
Woman killed on Israeli border,Crime
SAMAA TV gets CCTV footage of bank robbery in Karachi,Crime
New suspect charged over Brussels attacks,Crime
Man held for rape attempt in hospital,Crime
I cheated: Ranbir,Crime
Cool cucumber what are you doing here?,Crime
 Eight killed in road accident,Crime
 CM Sindh asked to take notice of high crime rate,Crime
71 ‘Syrians’ dead in Austria truck tragedy,Crime
Rape charges against Saudi prince dropped,Crime
Police arrest 4 terrorists from Karachi,Crime
Beauty parlor of vehicles,Crime
 QUETTA: People gather near dead bodies of passengers who killed unknown armed assailants at Giyani Pul near Mach area in Bolan District at local hospital.,Crime
 Rangers gun down 3 militants in Karachi operation,Crime
Court hands police official life sentence for raping daughter,Crime
Cop among three killed 2 political activists injured,Crime
"Man, 60, Murders Woman, Dumps Body Parts Inside 2 Trains, Arrested: Cops",Crime
Army personnel injured in road mishap,Crime
Muslims lynched in India over allegedly stealing cows,Crime
Saddening: It was Zainab’s father versus clapping and smiles,Crime
 Peace meet cancelled as 3 Palestinians killed by Israel,Crime
Brazil arrests group planning Olympics terrorism: minister,Crime
JFK airport resumes normal operations after gun scare,Crime
Teacher shot dead in Quetta,Crime
Cowell says new 'X Factor' panel reflects music's 'girl's world,Crime
Police Rangers arrest 20 more ‘criminals’ in Karachi,Crime
Twin truck bombings in outside Kohat tunnel,Crime
 SUKKUR: Security officials escorting arrested criminals who were accused in killing of Jamiat Ulema-e- Islam Fazal (JUI-F) Sindh general secretary and ex-senator Dr Khalid Mehmood Soomro during their case hearing at Anti-Terrorist Court.,Crime
Strauss-Kahn to be put face-to-face with French rape accuser,Crime
 7 killed in bus-car collision in Chaman,Crime
 Attacks kill Nato soldier three Afghan policemen,Crime
Policeman killed another injured in Shikarpur,Crime
Sindh CM sets up special desk to monitor child abuse cases,Crime
3 killed over land dispute,Crime
 Two police one civilian killed in Colombia attack,Crime
Video: ‘Cool’ rickshaw provides comfort to passengers weary of heat,Crime
Police arrest father brother of Mastung suicide bomber,Crime
Taliban reject rape murder claims of freed Canadian hostage,Crime
Robber shot dead in encounter,Crime
Husband kills wife in Ghaziabad,Crime
Iranian female boxer to ‘stay in France’ over arrest fears,Crime
Pakistan extends Hafiz Saeed’s house arrest,Crime
Roadside bomb kills six Afghan civilians,Crime
 Ombudsman takes suo-moto action on torture on 10 year seminary student,Crime
Karachi violence: Two more die overnight,Crime
NSAs helped defuse Pak-Indo standoff over diplomats’ harassment,Crime
ATC issues arrest warrants of Karachi Mayor-designate 17 others,Crime
Police seize 30 maunds of donkey meat in Khanewal,Crime
Women cricket tournament,Crime
Property dispute claimed two lives in Hafizabad,Crime
 KARACHI: Police staffs caught the vehicle to charge challan upon violating the traffic rules at Site area.,Crime
Policeman injured resisting robbery on Karachi's Khayaban-e Sehr,Crime
Pakistan fighting kills ’50 militants’ four soldiers,Crime
 Two military men killed after gun attack on vehicle,Crime
Accuser releases video footage of Weinstein’s alleged harassment,Crime
Polling agent killed in Muzaffargarh,Crime
 Police chased hashish trailer from RY Khan held in Karachi,Crime
No headway in Zehra Shahid’s murder FIR yet to be registered,Crime
Sindh Balochistan declare one-day mourning,Crime
Ex-Soviet Georgia eyes film industry rebirth,Crime
 2 killed one injured  in Karachi violence,Crime
72 dead in suspected Syria chemical attack: new toll,Crime
Six ACLC officials arrested for killing youth in Karachi,Crime
Child abuse on the rise,Crime
Karachi gangs using WhatsApp to demand extortion,Crime
"Actor Darshan Asked 3 Men To Take Blame For Murder, Paid Rs 15 Lakh: Cops",Crime
 China suspect killed after trying to seize school: media,Crime
7 killed in rain-related accidents,Crime
Criticism of harassment at checkposts lowers morale of harassers Pashtun Tahaffuz Movement told,Crime
2 killed in Quetta market blast,Crime
 Four killed six injured in bus-tractor trolley collision,Crime
Firing breaks out during Peshawar polling,Crime
Dh10000 fine jail for staring at women catcalling in UAE,Crime
Karachi violence claims 11 lives,Crime
Man arrested for torturing wife in Lahore after she refused to dance in front of his friends,Crime
Stander dies after accident,Crime
3 killed 23 injured in Afghan suicide bombing,Crime
Young lovers die in the name of honour,Crime
 Three killed two women injured in Quetta firing,Crime
Massive Honduras jail blaze kills over 350 inmates,Crime
Saudi women allowed to run in local elections,Crime
Dense fog claims lives as Punjab govt changes school timings due to smog,Crime
Naqeebullah jirga threatens march to Parliament,Crime
Algerians mourn victims of deadly military plane crash,Crime
Malala Yousaf zai wins EU’s Sakharov human rights prize,Crime
Rape murder of 8-year-old girl triggers nationwide outrage in India,Crime
Cop arrest sparks tension between rangers police,Crime
Defunct Chinese space lab plunges back to Earth,Crime
Extortionists kill three in Gulshan-e-Iqbal,Crime
Women like latest trendy furniture,Crime
Sialkot road accident: Three killed twelve injured,Crime
India gang rape victim dies in Singapore hospital,Crime
29 Afghans arrested across country,Crime
"Haryana Woman, Stabbed Multiple Times By Brother, Dies",Crime
Security forces arrest 12 LeT members including Zaka-ur-Rehman Lakhvi,Crime
 KARACHI: Security staffs cordon of the factory where dead bodies of five laborers found and who killed due to suffocation in Darussalam Society.,Crime
Four burn to death in Karachi,Crime
"Man Fires At Girlfriend, Then Dies By Suicide At Kolkata Guest House: Cops",Crime
Drone strike kills 4 in NWA,Crime
Change in brain activity noticed post-chemo,Crime
Pakistan getting ready to welcome five large auto companies ,Crime
