text;labels
Apple's $61b China market threatened by Trump's WeChat ban;['Business and Finance', 'Science and Technology']
As it adds Jeremy Milken to the partnership, Watertower Ventures nears $50 million close for its new fund;['Business and Finance', 'Science and Technology']
Astronauts: SpaceX Dragon capsule 'came alive' on descent;['Politics', 'Science and Technology']
Auckland bungalow draws record number of bidders;['Business and Finance', 'Politics']
Australia reports deadliest day of COVID-19 pandemic, new cases steady;['Health and Wellness', 'Politics']
Australia reports deadliest day of Covid-19 pandemic, new cases steady;['Health and Wellness', 'Politics']
Australia says COVID-19 outbreak shows signs of peaking;['Health and Wellness', 'Politics']
Australia suffers deadliest day of coronavirus pandemic, cases rise;['Health and Wellness', 'Politics']
Australia will miss out on early access to COVID-19 vaccine;['Health and Wellness', 'Politics']
Australia's small yet crucial part in the mission to find life on Mars;['Business and Finance', 'Science and Technology']
Australian state bans recorder recitals, school choirs;['Health and Wellness', 'Politics']
BBC Springwatch presenter Iolo Williams's sorrow at golden eagle death;['Politics', 'Arts, Culture, and Entertainment']
BBC apologizes for use of N-word in news report;['Politics', 'Arts, Culture, and Entertainment']
BHP puts powerful lobby groups on notice over climate change;['Business and Finance', 'Politics']
BTS Agency Big Hit Entertainment Moves Closer to IPO;['Arts, Culture, and Entertainment', 'Science and Technology']
BTec students awaiting results 'hopeful for the future';['Business and Finance', 'Science and Technology']
Back from the dead? Stem cells give hope for revival of Malaysia's extinct rhinos;['Politics', 'Science and Technology']
Big cats' droppings help German circus weather coronavirus crisis;['Health and Wellness', 'Arts, Culture, and Entertainment']
Biggest Bombshells from Johnny Depp's U.K. Libel Case: From Early Drug Use to Losing $750 Million;['Sports', 'Arts, Culture, and Entertainment']
Bill English: Computer mouse co-creator dies at 91;['Business and Finance', 'Science and Technology']
Birds and reptiles cry similar tears to humans, says new research;['Politics', 'Science and Technology']
Birmingham Council 'late' over outdoor seating pleas;['Health and Wellness', 'Science and Technology']
Blaize Delivers Breakthrough for AI Edge Computing;['Business and Finance', 'Science and Technology']
Boy thrown from Tate Modern balcony 'goes home';['Health and Wellness', 'Arts, Culture, and Entertainment']
Brazil COVID-19 deaths reach 100,000 and barrel onward;['Health and Wellness', 'Politics']
Brazil, hotbed for COVID-19 vaccine testing, may struggle to produce its own;['Health and Wellness', 'Politics']
Breakdowns;['Health and Wellness', 'Politics']
Britain encourages at-risk groups to sign up for COVID-19 vaccine trials;['Health and Wellness', 'Politics']
Britain's COVID-19 daily infections rise to highest level since June;['Business and Finance', 'Health and Wellness']
COVID Cluster In Brandon, Union Calling For A Plant Shutdown;['Business and Finance', 'Politics']
COVID lessons from the survivors of other horrors;['Health and Wellness', 'Politics']
COVID-19 Australia live: Victoria, NSW, Qld coronavirus updates;['Health and Wellness', 'Politics']
COVID-19 hits Newfoundland set of TV show 'Hudson & Rex';['Health and Wellness', 'Business and Finance']
"COVID-19 tied to muscle-weakening disease; vaping risk documented";['Health and Wellness', 'Arts, Culture, and Entertainment']
COVID-19 vaccine: Aurobindo Pharma expects phase-I, II trials by end of 2020;['Business and Finance', 'Health and Wellness']
Calderdale coronavirus cases 'among the highest in country';['Health and Wellness', 'Politics']
Calgary researchers zero in on gut bacteria as potent cancer fighter;['Health and Wellness', 'Science and Technology']
Can Air Conditioners Spread COVID-19?;['Health and Wellness', 'Business and Finance']
CanSino to start Phase III trial of COVID-19 vaccine in Saudi;['Health and Wellness', 'Politics']
Canada reports 195 new coronavirus cases, 5 more deaths;['Health and Wellness', 'Politics']
Caught in the middle: NSW reconsiders how to 'live with the virus';['Health and Wellness', 'Politics']
China Bans Free Text Editor Notepad++;['Business and Finance', 'Science and Technology']
China Sinopharm's potential COVID-19 vaccine triggers antibodies in clinical trials;['Health and Wellness', 'Politics']
China Sinopharm's potential COVID-19 vaccine triggers antibodies in clinical trials: journal;['Health and Wellness', 'Business and Finance']
China claims to have found coronavirus on frozen chicken wings imported from Brazil;['Health and Wellness', 'Politics']
China seals off village after bubonic plague death in Inner Mongolia;['Health and Wellness', 'Politics']
China spat may be threatening Canada's bid to get early access to leading COVID-19 vaccine: experts;['Health and Wellness', 'Politics']
Climate change: Warming world will be 'devastating' for frozen peatlands;['Health and Wellness', 'Science and Technology']
Cloak your photos with this AI privacy tool to fool facial recognition;['Business and Finance', 'Science and Technology']
Controversial influencer Jake Paul's home raided by FBI;['Politics', 'Arts, Culture, and Entertainment']
Coronavirus Research: Pfizer vaccine provokes immune response;['Business and Finance', 'Health and Wellness']
Coronavirus Victoria: Dan Andrews, Brett Sutton’s relationship has ‘risk’ expert warns;['Health and Wellness', 'Politics']
Coronavirus Victoria: Man in 20s dies from COVID-19;['Health and Wellness', 'Politics']
Coronavirus in Europe: Infections surge in Germany and Spain;['Health and Wellness', 'Politics']
Coronavirus in Scotland: Sixty more cases detected;['Sports', 'Politics']
Coronavirus infections in England have 'levelled off' after July increase, ONS figures show;['Health and Wellness', 'Business and Finance']
"Coronavirus live updates: Scientists say new nasal spray can help fight COVID; college football season in shambles; Texas passes 500K cases";['Health and Wellness', 'Science and Technology']
Coronavirus severely restricts Antarctic science;['Health and Wellness', 'Politics']
Coronavirus vaccine will not be a magic bullet, scientists warn;['Health and Wellness', 'Politics']
Coronavirus: '£400,000 recovered' in flight refunds in NI;['Business and Finance', 'Science and Technology']
Coronavirus: All the places linked to the new Covid-19 cases;['Health and Wellness', 'Politics']
Coronavirus: Americold 'ruled out' as the source of Auckland Covid-19 outbreak;['Health and Wellness', 'Politics']
Coronavirus: Andrea Maftei, 32, named as latest person to die in NI;['Health and Wellness', 'Politics']
Coronavirus: Auckland asked to wear masks, TV reporters obliged but it's tricky;['Health and Wellness', 'Politics']
Coronavirus: Australia encouraged by drop in new Covid-19 cases;['Health and Wellness', 'Politics']
Coronavirus: Blackburn wedding party of 100 broken up by police;['Health and Wellness', 'Politics']
Coronavirus: Drive-through test motorist given parking fine;['Health and Wellness', 'Politics']
Coronavirus: England death count review reduces UK toll by 5,000;['Health and Wellness', 'Politics']
Coronavirus: Fix contact tracing or shut pubs, Mayor Andy Burnham says;['Health and Wellness', 'Science and Technology']
Coronavirus: Lockdown restrictions in Preston and beachgoers told to 'head home';['Health and Wellness', 'Politics']
Coronavirus: Millions return to lockdown in Philippines;['Business and Finance', 'Politics']
Coronavirus: NHS England scales back private sector deal;['Health and Wellness', 'Politics']
Coronavirus: North England Covid-19 restrictions extended;['Business and Finance', 'Politics']
Coronavirus: Oldham is on the verge of lockdown - but its bars and pubs tell a different story;['Health and Wellness', 'Science and Technology']
Coronavirus: Public Health England 'to be replaced';['Health and Wellness', 'Politics']
Coronavirus: Public transport restrictions lifted on Monday;['Business and Finance', 'Politics']
Coronavirus: Pupils from two Coatbridge schools test positive;['Health and Wellness', 'Politics']
Coronavirus: Randox recalls up to 750,000 test kits over safety concerns;['Business and Finance', 'Politics']
Coronavirus: Ten African innovations to help tackle Covid-19;['Health and Wellness', 'Politics']
Coronavirus: Test and Trace puts people in 'difficult position';['Health and Wellness', 'Business and Finance']
Coronavirus: Two new cases of Covid-19 in managed isolation;['Health and Wellness', 'Politics']
Coronavirus: WHO advises avoiding dentists' unless urgent;['Health and Wellness', 'Politics']
Cotton mask or neck fleece? Check out how effective different kinds of masks are;['Health and Wellness', 'Business and Finance']
Countries tighten measures as global virus death toll tops 700,000;['Health and Wellness', 'Business and Finance']
Covid-19 live updates for Sunday 16 August;['Sports', 'Business and Finance']
Covid-19 lockdown extension likely - disease modelling expert;['Health and Wellness', 'Politics']
Covid-19: Inside the multibillion dollar race for a vaccine;['Health and Wellness', 'Politics']
Crunch time for Queensland as ‘crucial’ COVID window ends;['Health and Wellness', 'Politics']
Customer fights to have $1200 power bill axed due to sign-up mix-up;['Business and Finance', 'Politics']
Debate begins for who's first in line for COVID-19 vaccine;['Health and Wellness', 'Business and Finance']
Decoded: How our brain identifies faces like a computer system;['Health and Wellness', 'Science and Technology']
Despite agreement, China purchase of US agriculture lags;['Business and Finance', 'Politics']
Detectorist 'shaking with happiness' after Bronze Age find;['Politics', 'Arts, Culture, and Entertainment']
Don't chart separate vaccine procurement pathways, states urged;['Health and Wellness', 'Politics']
Don't demolish old buildings, urge architects;['Politics', 'Science and Technology']
Donald Trump claims the ‘1917’ Spanish flu ‘ended World War II’;['Health and Wellness', 'Politics']
Eating too much rice with your meals could be fatal, experts claim;['Health and Wellness', 'Business and Finance']
Ed Sheeran’s pregnant wife Cherry Seaborn showed off tiny bump at hockey match earlier this year;['Arts, Culture, and Entertainment', 'Science and Technology']
Electric cooker an easy, efficient way to sanitize N95 masks, study finds;['Health and Wellness', 'Science and Technology']
Eleven new COVID-19 cases reported in Ottawa Saturday: OPH;['Health and Wellness', 'Politics']
Europe’s Biggest Pork Exporter Closes Slaughterhouse for a Week Due to Covid-19;['Health and Wellness', 'Business and Finance']
Every Sumatran rhino has died in Malaysia. Scientists want to bring them back with cloning technology;['Politics', 'Science and Technology']
Exclusive: ByteDance censored anti-China content in Indonesia until mid-2020, say sources;['Business and Finance', 'Politics']
Exclusive: ByteDance censored anti-China content in Indonesia until mid-2020- sources;['Business and Finance', 'Politics']
Experimental Covid-19 vax prevents severe disease in mice;['Health and Wellness', 'Politics']
FDA Adviser: Not Realistic To Expect A COVID-19 Vaccine In 2020;['Health and Wellness', 'Politics']
Face mask feeling uncomfortable? Here's what you can do for ear and head relief;['Health and Wellness', 'Arts, Culture, and Entertainment']
Facebook critiques Apple on its commission system;['Business and Finance', 'Science and Technology']
Facebook founder sees wealth hit $100bn after TikTok rival launch;['Politics', 'Science and Technology']
Fifth pupil tests positive in Lanarkshire cluster;['Health and Wellness', 'Politics']
France plans masks at work as daily COVID-19 cases surpass 3,000;['Health and Wellness', 'Politics']
France's COVID-19 cases at four-month high, health system holding up;['Health and Wellness', 'Science and Technology']
Frances Allen, pioneering computer scientist, is dead at the age of 88;['Business and Finance', 'Science and Technology']
French fear more for their health than their wealth in Covid-19 pandemic;['Health and Wellness', 'Politics']
French passengers sue Costa Cruises over virus ship ordeal;['Health and Wellness', 'Business and Finance']
German food company to change racist name of popular sauce;['Business and Finance', 'Politics']
German institute says COVID-19 vaccine could be available in autumn;['Health and Wellness', 'Politics']
Ghislaine Maxwell complains she’s being watched by mystery guards who aren’t proper prison staff;['Politics', 'Arts, Culture, and Entertainment']
Give the Covid Vaccine to Healthy Young People First;['Health and Wellness', 'Business and Finance']
Good Morning Britain's Dr Sarah Jarvis warns of unknown coronavirus risk from food factory outbreaks;['Health and Wellness', 'Science and Technology']
Gordon Ramsay to sell Cornish holiday home after lockdown clashes with neighbours;['Politics', 'Arts, Culture, and Entertainment']
Government may have 'already exceeded the absolute limits' of lifting lockdown measures, expert warns;['Arts, Culture, and Entertainment', 'Science and Technology']
Greece could be suddenly added to quarantine list as Covid cases soar;['Health and Wellness', 'Business and Finance']
Harvard researchers want more 'crappy' tests for COVID-19;['Health and Wellness', 'Politics']
Health authorities confirm Qld woman at centre of virus mystery has tested negative;['Health and Wellness', 'Politics']
Hisense and Paris Saint-Germain announce global partnership;['Business and Finance', 'Sports']
Hong Kong reports 69 new coronavirus cases;['Health and Wellness', 'Politics']
How covid vaccines will be distributed in India? Committee meets today;['Health and Wellness', 'Politics']
Hundreds of illegal rave-goers in Birmingham dispersed by police;['Health and Wellness', 'Politics']
If Microsoft buys TikTok, it could be bad news for Google Cloud;['Business and Finance', 'Science and Technology']
Immunotherapy-resistant cancers eliminated in mouse study;['Health and Wellness', 'Science and Technology']
Indian scientists 'make' space bricks for lunar habitation;['Health and Wellness', 'Science and Technology']
Indonesia COVID-19 cases rise by 1893, deaths by 65: official data;['Health and Wellness', 'Politics']
Indonesia export, import growth seen tumbling in July: Reuters poll;['Business and Finance', 'Politics']
Indonesia eyes production of 250 mln doses a year of coronavirus vaccine;['Health and Wellness', 'Politics']
Indonesia eyes production of 250m doses a year of coronavirus vaccine;['Health and Wellness', 'Politics']
Indonesia reports 2081 new coronavirus infections, 79 deaths: covid-19 task force;['Health and Wellness', 'Politics']
Indonesia reports 2307 new coronavirus infections, 53 deaths;['Health and Wellness', 'Politics']
Inexpensive, accessible device provides visual proof that masks block droplets;['Health and Wellness', 'Science and Technology']
Instagram Faces Lawsuit Over Illegal Harvesting of Biometrics;['Business and Finance', 'Science and Technology']
Ireland Baldwin celebrates six years free of eating disorders;['Arts, Culture, and Entertainment', 'Science and Technology']
Is a mutated strain of the coronavirus more infectious? The Philippines wants to find out;['Health and Wellness', 'Politics']
"Israel claims 'excellent vaccine in hand'; set to start human trials";['Health and Wellness', 'Business and Finance']
Israeli hospital trials super-quick saliva test for COVID-19;['Health and Wellness', 'Science and Technology']
Israeli research institution to launch human trials of coronavirus vaccine;['Health and Wellness', 'Politics']
It's not for me: speed of COVID-19 vaccine race raises safety concerns;['Health and Wellness', 'Business and Finance']
Japan, Malaysia may resume travel in early Sept. for expatriates;['Business and Finance', 'Politics']
K-Pop group BTS' label Big Hit posts profit as it prepares for IPO;['Arts, Culture, and Entertainment', 'Science and Technology']
KLCI records net inflow after 25 weeks despite cautious global sentiment;['Business and Finance', 'Politics']
Kanye West names running mate in U.S. presidential bid;['Politics', 'Arts, Culture, and Entertainment']
Karnataka Health Minister B Sriramulu tests positive for coronavirus;['Sports', 'Politics']
Kate Garraway says her husband Derek Draper’s doctors claim ‘contraceptive pill could protect MEN against cor;['Health and Wellness', 'Politics']
Labster lands new cash to bring its virtual reality science lab software to Asia;['Business and Finance', 'Science and Technology']
Latest on worldwide coronavirus spread;['Health and Wellness', 'Politics']
List 3/4 of sports events affected by coronavirus pandemic;['Sports', 'Politics']
List of sports events affected by the coronavirus pandemic;['Sports', 'Politics']
Louisiana man goes from hospital security guard to medical student;['Health and Wellness', 'Politics']
Machine Gun Kelly Says He's 'Locked in' with Girlfriend Megan Fox: 'No Dates for Me';['Arts, Culture, and Entertainment', 'Science and Technology']
Man born in Hiroshima lights 1964 Tokyo Olympic cauldron;['Sports', 'Politics']
Manhood must wait: virus delays South African circumcision rituals;['Health and Wellness', 'Politics']
Manmohan Singh's 'three steps' to stem India's economic crisis;['Business and Finance', 'Politics']
Maoyan Entertainment Announces Interim Results for the First Half Year of 2020;['Business and Finance', 'Arts, Culture, and Entertainment']
Married At First Sight star Stacey Hampton arrested, charged for flouting coronavirus restrictions;['Arts, Culture, and Entertainment', 'Science and Technology']
Massive Beirut blast kills more than 70, injures thousands;['Business and Finance', 'Politics']
McKesson to Distribute Future COVID-19 Vaccines in Support of Operation Warp Speed;['Health and Wellness', 'Business and Finance']
Medical masks best, cotton good, bandanas worse: droplet study;['Politics', 'Science and Technology']
Microsoft's rescue attempt of TikTok endears old company to new generation;['Business and Finance', 'Politics']
Microsoft, Amazon back a SoCal company making microchips specifically for voice-based apps;['Business and Finance', 'Science and Technology']
Mika Shares Letter to the Lebanese People 'Devastated by the Apocalypse';['Politics', 'Arts, Culture, and Entertainment']
Moderna prices COVID-19 vaccine at $32-$37 per dose for smaller volume deals;['Health and Wellness', 'Business and Finance']
Moderna says discussing supply deals with countries for COVID-19 vaccine;['Health and Wellness', 'Politics']
Moderna's clinical trial numbers show there's 'no way' Trump can have a vaccine by Election Day;['Health and Wellness', 'Business and Finance']
Moorland Garden Hotel in Devon shuts and cancels weddings;['Health and Wellness', 'Arts, Culture, and Entertainment']
Mouse Study Reveals Previously Unknown Taste Cell That Detects Nearly All Flavours;['Health and Wellness', 'Science and Technology']
N.L. reports new COVID-19 case linked to out-of-province TV series worker;['Health and Wellness', 'Science and Technology']
NBA names Victor Williams CEO of NBA Africa;['Sports', 'Business and Finance']
NIH launches clinical trials for COVID-19 monoclonal antibody treatment;['Health and Wellness', 'Business and Finance']
National Expert Group on Vaccine Administration for COVID-19 deliberates on strategy to ensure availability of vaccines & its delivery mechanism;['Health and Wellness', 'Politics']
Neck gaiters may actually increase COVID-19 transmission, study finds;['Health and Wellness', 'Business and Finance']
New Brunswick doctor facing emergency measures charge after cluster of COVID-19 cases;['Health and Wellness', 'Science and Technology']
New Vic cases dip despite death toll of 17;['Health and Wellness', 'Politics']
New Zealand reinstates coronavirus restrictions after first locally-transmitted case in 102 days;['Health and Wellness', 'Politics']
New Zealand virus outbreak spreads beyond Auckland;['Health and Wellness', 'Politics']
New Zealand's Southern Alps glacier melt has doubled;['Health and Wellness', 'Science and Technology']
New approach to airborne disinfection uses food-coloring dyes;['Health and Wellness', 'Science and Technology']
New decline in excess deaths 'hopeful sign that pandemic has peaked': MRC;['Health and Wellness', 'Politics']
New drug RLF-100 shows dramatic results for critical COVID-19 patients;['Health and Wellness', 'Business and Finance']
New study says Canadians see COVID vaccine as key to return to normal;['Health and Wellness', 'Politics']
Nine Wetherspoon’s pub staff in isolation after one tests positive but pub remains OPEN;['Health and Wellness', 'Politics']
Novavax ties up with SK bioscience to boost supply of potential COVID-19 vaccine;['Business and Finance', 'Politics']
Oil spill threatens ecological disaster as Mauritius declares emergency;['Business and Finance', 'Politics']
Ontario doctor subject of complaints after COVID-19 tweets;['Health and Wellness', 'Science and Technology']
Operation Warp Speed adviser says media criticism slows coronavirus fight;['Health and Wellness', 'Politics']
Outbreak hits another aged care home as state records deadliest day in pandemic;['Health and Wellness', 'Politics']
People should not fear spread of COVID-19 in food, packaging: WHO;['Health and Wellness', 'Science and Technology']
Pfizer's COVID Vaccine Shows 'Robust' Results in Early Trial;['Health and Wellness', 'Politics']
Pfizer-BioNTech Potential Covid-19 Vaccine Induces Immune Response in Early-phase Clinical Trial: Study;['Health and Wellness', 'Politics']
Pfizer-BioNTech vaccine candidate induces immune response in early-phase clinical trial: Study;['Health and Wellness', 'Politics']
Philippine economy fears as coronavirus curbs reintroduced;['Business and Finance', 'Politics']
Police to arrest plasma traders;['Health and Wellness', 'Politics']
Polish resort offers guests free coronavirus tests as cases spike;['Health and Wellness', 'Science and Technology']
Poll: Do you agree with the latest measures taken by government to curb the spread of Covid-19?;['Health and Wellness', 'Business and Finance']
Postal service warning states it may not be able to deliver ballots in time based on current election rules;['Politics', 'Science and Technology']
Pre-orders of COVID-19 vaccine top five billion;['Business and Finance', 'Politics']
Prince Harry and Meghan move to new California family home;['Politics', 'Arts, Culture, and Entertainment']
Prince Harry and Meghan purchase home in Santa Barbara;['Politics', 'Arts, Culture, and Entertainment']
Private train operators given freedom to choose halt stations: Railways;['Business and Finance', 'Politics']
Psychoactive parasitic fungus turning cicadas into hyper sexual ‘zombies’;['Health and Wellness', 'Politics']
Pubs unlikely to reopen next week as cabinet meets;['Health and Wellness', 'Politics']
Regeneron says antibody cocktail prevents and treats COVID-19 in animals;['Health and Wellness', 'Business and Finance']
Risk coronavirus or default: ride-hail drivers face tough choices as U.S. aid expires;['Health and Wellness', 'Business and Finance']
Robot boat completes three-week Atlantic mission;['Business and Finance', 'Politics']
Russian watchdog says Apple abused mobile app market dominance;['Business and Finance', 'Science and Technology']
Salma Hayek Reveals How She Keeps Her Skin Smooth, Clear, and Glowing at 53;['Arts, Culture, and Entertainment', 'Science and Technology']
Scientists invent low-cost emergency ventilator;['Health and Wellness', 'Science and Technology']
Seafood study finds plastic in all samples;['Health and Wellness', 'Science and Technology']
Second Hull ferry crew member tests positive for coronavirus;['Health and Wellness', 'Business and Finance']
Serialized fiction startup Radish raises $63.2M from SoftBank and Kakao;['Arts, Culture, and Entertainment', 'Science and Technology']
Sheep rustling rise could threaten human health as rural crime increases during coronavirus pandemic;['Business and Finance', 'Politics']
Singapore Will Get First Claim to Any Successful Arcturus Vaccine;['Health and Wellness', 'Business and Finance']
Singapore reports 42 new coronavirus cases, lowest daily count in 4.5 months;['Health and Wellness', 'Politics']
Singapore to make travellers wear electronic tags to enforce quarantine;['Health and Wellness', 'Politics']
Sinovac launches late-stage trial for potential Covid-19 vaccine in Indonesia;['Business and Finance', 'Politics']
Small aerosol droplets could penetrate PPE, scientists warn;['Health and Wellness', 'Science and Technology']
Sons use e-books to help virus-stricken dad, other patients;['Health and Wellness', 'Science and Technology']
South Africa begins second COVID-19 vaccine trial;['Health and Wellness', 'Politics']
Southeast Asia Detects Mutated Virus Strain Sweeping the World;['Health and Wellness', 'Politics']
Sperm fooled scientists for 350 years – they spin not swim;['Health and Wellness', 'Science and Technology']
Stronach family settles feud that divided founder Frank and daughter Belinda;['Business and Finance', 'Sports']
Surfer mum Courtney Adamo breaks her silence;['Arts, Culture, and Entertainment', 'Science and Technology']
Swedish researchers recommend faces masks for kids in schools;['Health and Wellness', 'Politics']
Swindon's diverse areas 'need more Covid-19 support';['Health and Wellness', 'Science and Technology']
Tate boss defends plan to cut 200 jobs in art gallery shops and cafes;['Politics', 'Arts, Culture, and Entertainment']
Testing and tracing 'key to schools returning', scientists say;['Health and Wellness', 'Politics']
The BMW R18 Dragster Is The Kind Of Buff Race Bike You Dream About;['Business and Finance', 'Science and Technology']
Third of Americans would say 'no' to COVID vaccine - even if it was free;['Health and Wellness', 'Politics']
This Algorithm Might Make Facial Recognition Obsolete;['Business and Finance', 'Science and Technology']
This tool could protect your photos from facial recognition;['Politics', 'Science and Technology']
Three more U.S. states launching coronavirus exposure warning apps;['Health and Wellness', 'Science and Technology']
TikTok deal tests Microsoft’s decades of China experience;['Business and Finance', 'Politics']
TikTok’s pain is Triller’s gain. But will the U.S.-based video app’s surge last?;['Business and Finance', 'Science and Technology']
Toshiba officially quits the laptop business;['Business and Finance', 'Science and Technology']
Toshiba shuts the lid on laptops after 35 years;['Business and Finance', 'Science and Technology']
Track active COVID-19 cases, recent outbreaks in your postcode;['Health and Wellness', 'Politics']
Travel ban for countries with high Covid-19 rates being considered;['Health and Wellness', 'Politics']
Trump: Tech giants challenge US foreign worker crackdown;['Business and Finance', 'Politics']
UAE's Hope probe completes crucial step to reach Mars' orbit;['Politics', 'Science and Technology']
UAE's Mars Mission completes first trajectory correction manoeuvre;['Health and Wellness', 'Science and Technology']
UK face mask rules: When we might be able to stop wearing them;['Health and Wellness', 'Politics']
US considering coronavirus strain for potential human challenge trials - but there's no intention to use it, Fauci says;['Business and Finance', 'Health and Wellness']
US government slow to act as anti-vaxxers spread lies on social media about coronavirus vaccine;['Health and Wellness', 'Politics']
US tops 5 million confirmed virus cases, to Europe's alarm;['Health and Wellness', 'Politics']
University of Minnesota turns natural killer cells against COVID-19;['Health and Wellness', 'Science and Technology']
Vaccine makers including Moderna must hit U.S. timing goals for full payments;['Health and Wellness', 'Business and Finance']
Vaccine nationalism: Experts warn countries against taking 'me-first' approach;['Health and Wellness', 'Business and Finance']
VenoStent has a new technology to improve outcomes for dialysis patients;['Business and Finance', 'Science and Technology']
Victoria records 429 infections, 13 deaths as Melbourne battles through first day of stage four lockdown;['Health and Wellness', 'Science and Technology']
Victoria's lockdown will be $1b 'whack' to NSW economy;['Health and Wellness', 'Politics']
Vietnam health ministry to buy Russian COVID-19 vaccine -state media;['Health and Wellness', 'Business and Finance']
Vietnam reports 21 new COVID-19 infections, 2 deaths;['Health and Wellness', 'Politics']
Virus hastens newspapers' slide into shaky digital future;['Business and Finance', 'Politics']
Virus surge makes US weak link in global economic recovery;['Health and Wellness', 'Business and Finance']
Vistara likely to start flights from India to UK, Germany, France;['Business and Finance', 'Politics']
WHO says food safe from coronavirus;['Health and Wellness', 'Politics']
WHO warns there may never be a COVID-19 'silver bullet';['Health and Wellness', 'Politics']
What It's Like When COVID-19 Lasts For Months;['Health and Wellness', 'Arts, Culture, and Entertainment']
What killed the woolly rhino?;['Politics', 'Science and Technology']
What you need to know about COVID-19 in Ottawa on Tuesday, Aug. 11;['Health and Wellness', 'Science and Technology']
What you need to know about the coronavirus right now;['Health and Wellness', 'Politics']
When will a coronavirus vaccine be ready?;['Health and Wellness', 'Politics']
Who will be first in line for a COVID-19 vaccine?;['Health and Wellness', 'Business and Finance']
Who's first in line for a COVID-19 vaccine? The debate begins;['Business and Finance', 'Politics']
Why Young Adults Are Driving the New Coronavirus Spike;['Health and Wellness', 'Business and Finance']
Why lions are less likely to attack cattle with eyes painted on their backsides;['Politics', 'Arts, Culture, and Entertainment']
Why you shouldn't be worried about getting the coronavirus from food;['Health and Wellness', 'Politics']
World food price index rises in July, extending rebound;['Business and Finance', 'Politics']
Worm breakthrough offers hope for drugs to extend human lifespans;['Health and Wellness', 'Science and Technology']
Zelda: Breath of the Wild Recipe Accidentally Appears In Historical Fiction Novel;['Arts, Culture, and Entertainment', 'Science and Technology']
Zydus Cadila's Covid-19 Vaccine Candidate Found Safe in Early-stage Human Trial;['Health and Wellness', 'Business and Finance']
‘Canary in the coal mine’: Greenland ice has shrunk beyond return, study finds;['Politics', 'Science and Technology']
A Warning Against A Culture Where Every Child Wins;['Health and Wellness', 'Lifestyle and Fashion']
Amazing Grace;['Lifestyle and Fashion', 'Health and Wellness']
Are We Having Fun Yet?;['Arts, Culture, and Entertainment', 'Health and Wellness']
FBI, Justice Department Investigating Daily Fantasy Sports Business Model;['Politics', 'Sports']
Going the Distance;['Lifestyle and Fashion', 'Health and Wellness']
Have a Ball;['Health and Wellness', 'Lifestyle and Fashion']
Here Are The Movies Coming To Netflix This Week;['Arts, Culture, and Entertainment', 'Lifestyle and Fashion']
How Successful People Stay Calm;['Health and Wellness', 'Business and Finance']
I'm Sorry;['Health and Wellness', 'Lifestyle and Fashion']
Independence Day;['Politics', 'Lifestyle and Fashion']
It Takes a Village;['Lifestyle and Fashion', 'Health and Wellness']
Letting Go;['Lifestyle and Fashion', 'Health and Wellness']
Making Mistakes;['Lifestyle and Fashion', 'Health and Wellness']
